place,title,time,pay,date
광주 남구,롯데리아 광주진월점,17:00~21:00,"시급9,160",2시간전
경북 경산시,롯데리아 경산사동점,시간협의,"월급2,300,000",2시간전
충북 청주시,롯데리아 청주사창점,시간협의,"시급9,160",4시간전
충북 청주시,롯데리아 청주사창점,시간협의,"시급9,160",4시간전
경남 양산시,롯데리아 양산부산대점,16:00~24:00,"시급9,160",4시간전
경기 고양시,롯데리아 화정역,시간협의,"시급9,160",4시간전
경기 고양시,롯데리아 화정역,시간협의,"시급9,160",4시간전
서울 은평구,롯데리아 불광점,시간협의,"시급9,160",4시간전
부산 동래구,롯데리아 부산미남역점,시간협의,"월급2,000,000",5시간전
부산 중구,롯데리아 부산비프광장점,시간협의,"시급9,160",5시간전
전북 전주시,롯데리아 전주평화점,17:00~24:00,"시급9,160",6시간전
광주 서구,롯데리아 광주농성D/T점,17:00~23:00,"시급9,160",6시간전
광주 북구,롯데리아 광주농성D/T점,10:30~18:30,"시급9,160",6시간전
광주 북구,롯데리아 광주농성D/T점,10:30~18:30,"시급9,160",6시간전
광주 서구,롯데리아 광주농성D/T점,17:00~23:00,"시급9,160",6시간전
서울 도봉구,롯데리아 쌍문역점,시간협의,"시급9,160",6시간전
서울 성북구,롯데리아 석관점,시간협의,"월급1,600,000",6시간전
부산 강서구,롯데리아 부산신호점,시간협의,"시급9,160",6시간전
서울 성북구,롯데리아 석관점,시간협의,"월급1,600,000",6시간전
서울 성북구,롯데리아 석관점,시간협의,"월급1,600,000",6시간전
서울 성북구,롯데리아 석관점,시간협의,"월급1,600,000",6시간전
부산 강서구,롯데리아 부산신호점,시간협의,"시급9,160",6시간전
부산 강서구,롯데리아 부산신호점,시간협의,"시급9,160",6시간전
서울 관악구,롯데리아 세이브마트점,10:00~23:00,"시급9,160",7시간전
서울 관악구,롯데리아 세이브마트점,10:00~23:00,"시급9,160",7시간전
대구 동구,롯데리아 대구아양교점,시간협의,"시급9,160",7시간전
대구 동구,롯데리아 대구아양교점,시간협의,"시급9,160",7시간전
경기 안산시,롯데리아 안산D/T점,시간협의,"시급9,160",7시간전
경남 창원시,롯데리아 마산내서점,시간협의,"시급9,160",7시간전
서울 강서구,롯데리아 까치산역점,시간협의,"시급9,160",7시간전
경기 시흥시,롯데리아 시흥하중점,시간협의,"시급9,160",7시간전
대구 수성구,롯데리아 대구수성구청점,17:00~22:30,"시급9,160",7시간전
서울 송파구,롯데리아 캐슬플라자점,시간협의,"시급9,160",7시간전
서울 송파구,롯데리아 캐슬플라자점,시간협의,"시급9,160",7시간전
서울 송파구,롯데리아 캐슬플라자점,시간협의,"시급9,160",7시간전
경남 창원시,롯데리아 마산내서점,시간협의,"시급9,160",8시간전
부산 동구,롯데리아 신부산역사점,15:00~21:30,"시급9,160",8시간전
부산 전체,롯데리아 신부산역사점,15:00~21:30,"시급9,160",8시간전
부산 전체,롯데리아 신부산역사점,15:00~21:30,"시급9,160",8시간전
경남 창원시,롯데리아 마산역점,17:00~23:30,"시급9,160",8시간전
